RA1- 3,,,,
[Field-RA-1] has shared with me the following resources (check all that apply):,,,,
,,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
,,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
None of the above,,,,
,,,,
,,,,
Counseling resources,Resources for self-care and overall well-being,,,
Academic resources,,,,
,,,,
Academic resources,Resources for self-care and overall well-being,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
,,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
,,,,
,,,,
Academic resources,,,,
None of the above,,,,
,,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
Academic resources,Counseling resources,Resources for self-care and overall well-being,,
,,,,
,,,,
,,,,
,,,,
None of the above,,,,
Academic resources,Counseling resources,,,
Academic resources,Counseling resources,Diversity and social justice-related resources,Resources for self-care and overall well-being,
